End_Date,Portfolio_name,Campaign_Name,Ad_Group_Name,Advertised_SKU,Advertised_ASIN,Impressions,Clicks,Click_Thru_Rate_CTR,Cost_Per_Click_CPC,Spend,7_Day_Total_Sales,Total_Advertising_Cost_of_Sales_ACOS,Total_Return_on_Advertising_Spend_ROAS,7_Day_Total_Orders,7_Day_Total_Units,7_Day_Conversion_Rate,7_Day_Advertised_SKU_Units,7_Day_Other_SKU_Units,7_Day_Advertised_SKU_Sales,7_Day_Other_SKU_Sales
2023-08-07,Orient Therapy - ESF,OrientTherapy - Campaign 1,OrientTherapy - AdGroup 4,ORI-SYN-0003,B0SYNTH0003,211,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-12-18,Orient Therapy - ESF,OrientTherapy - Campaign 1,OrientTherapy - AdGroup 4,ORI-SYN-0003,B0SYNTH0003,124,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-10-02,Orient Therapy - ESF,OrientTherapy - Campaign 1,OrientTherapy - AdGroup 4,ORI-SYN-0003,B0SYNTH0003,349,1,0.0029,1.38,1.38,11.86,0.1164,8.5942,0,0,0.0,0,0,11.86,0
2023-01-30,Orient Therapy - ESF,OrientTherapy - Campaign 1,OrientTherapy - AdGroup 4,ORI-SYN-0003,B0SYNTH0003,66,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-06-12,Orient Therapy - ESF,OrientTherapy - Campaign 1,OrientTherapy - AdGroup 4,ORI-SYN-0003,B0SYNTH0003,1554,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-01-09,Orient Therapy - ESF,OrientTherapy - Campaign 1,OrientTherapy - AdGroup 4,ORI-SYN-0003,B0SYNTH0003,935,2,0.0021,1.22,2.43,6.92,0.3512,2.8477,0,0,0.0,0,0,6.92,0
2023-11-27,Orient Therapy - ESF,OrientTherapy - Campaign 1,OrientTherapy - AdGroup 4,ORI-SYN-0003,B0SYNTH0003,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-09-18,Orient Therapy - ESF,OrientTherapy - Campaign 1,OrientTherapy - AdGroup 4,ORI-SYN-0003,B0SYNTH0003,925,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-01-02,Jumbo Jumble - ESF,JumboJumble - Campaign 1,JumboJumble - AdGroup 5,JUM-SYN-0004,B0SYNTH0004,154,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-05-15,Jumbo Jumble - ESF,JumboJumble - Campaign 1,JumboJumble - AdGroup 5,JUM-SYN-0004,B0SYNTH0004,785,1,0.0013,0.73,0.73,1.6,0.4562,2.1918,0,0,0.0,0,0,1.6,0
2023-02-06,Jumbo Jumble - ESF,JumboJumble - Campaign 1,JumboJumble - AdGroup 5,JUM-SYN-0004,B0SYNTH0004,304,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-09-04,Jumbo Jumble - ESF,JumboJumble - Campaign 1,JumboJumble - AdGroup 5,JUM-SYN-0004,B0SYNTH0004,118,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-12-25,Jumbo Jumble - ESF,JumboJumble - Campaign 1,JumboJumble - AdGroup 5,JUM-SYN-0004,B0SYNTH0004,672,1,0.0015,1.2,1.2,2.72,0.4412,2.2667,0,0,0.0,0,0,2.72,0
2023-09-11,Jumbo Jumble - ESF,JumboJumble - Campaign 1,JumboJumble - AdGroup 5,JUM-SYN-0004,B0SYNTH0004,117,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-06-12,Jumbo Jumble - ESF,JumboJumble - Campaign 1,JumboJumble - AdGroup 5,JUM-SYN-0004,B0SYNTH0004,422,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-02-27,Jumbo Jumble - ESF,JumboJumble - Campaign 1,JumboJumble - AdGroup 5,JUM-SYN-0004,B0SYNTH0004,70,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-02-06,Halley - ESF,NaturPlus - Campaign 2,NaturPlus - AdGroup 1,NAT-SYN-0005,B0SYNTH0005,111,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-09-25,Halley - ESF,NaturPlus - Campaign 2,NaturPlus - AdGroup 1,NAT-SYN-0005,B0SYNTH0005,725,8,0.011,1.43,11.45,34.28,0.334,2.9939,1,1,0.125,1,0,34.28,0
2023-11-13,Halley - ESF,NaturPlus - Campaign 2,NaturPlus - AdGroup 1,NAT-SYN-0005,B0SYNTH0005,70,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-09-18,Halley - ESF,NaturPlus - Campaign 2,NaturPlus - AdGroup 1,NAT-SYN-0005,B0SYNTH0005,299,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-06-26,Halley - ESF,NaturPlus - Campaign 2,NaturPlus - AdGroup 1,NAT-SYN-0005,B0SYNTH0005,432,2,0.0046,0.61,1.23,2.01,0.6119,1.6341,0,0,0.0,0,0,2.01,0
2023-02-27,Halley - ESF,NaturPlus - Campaign 2,NaturPlus - AdGroup 1,NAT-SYN-0005,B0SYNTH0005,69,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-07-10,Halley - ESF,NaturPlus - Campaign 2,NaturPlus - AdGroup 1,NAT-SYN-0005,B0SYNTH0005,64,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-05-01,Halley - ESF,NaturPlus - Campaign 2,NaturPlus - AdGroup 1,NAT-SYN-0005,B0SYNTH0005,412,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-05-22,Harveast - ESF,EcoHome - Campaign 2,EcoHome - AdGroup 2,ECO-SYN-0006,B0SYNTH0006,66,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-07-10,Harveast - ESF,EcoHome - Campaign 2,EcoHome - AdGroup 2,ECO-SYN-0006,B0SYNTH0006,275,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-12-11,Harveast - ESF,EcoHome - Campaign 2,EcoHome - AdGroup 2,ECO-SYN-0006,B0SYNTH0006,65,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-08-14,Harveast - ESF,EcoHome - Campaign 2,EcoHome - AdGroup 2,ECO-SYN-0006,B0SYNTH0006,148,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-02-27,Harveast - ESF,EcoHome - Campaign 2,EcoHome - AdGroup 2,ECO-SYN-0006,B0SYNTH0006,1257,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-01-02,Harveast - ESF,EcoHome - Campaign 2,EcoHome - AdGroup 2,ECO-SYN-0006,B0SYNTH0006,70,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-09-11,Harveast - ESF,EcoHome - Campaign 2,EcoHome - AdGroup 2,ECO-SYN-0006,B0SYNTH0006,185,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-03-06,Harveast - ESF,EcoHome - Campaign 2,EcoHome - AdGroup 2,ECO-SYN-0006,B0SYNTH0006,224,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-07-31,Bioblas - ESF,VitaGreen - Campaign 2,VitaGreen - AdGroup 3,VIT-SYN-0007,B0SYNTH0007,168,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-03-20,Bioblas - ESF,VitaGreen - Campaign 2,VitaGreen - AdGroup 3,VIT-SYN-0007,B0SYNTH0007,91,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-08-14,Bioblas - ESF,VitaGreen - Campaign 2,VitaGreen - AdGroup 3,VIT-SYN-0007,B0SYNTH0007,225,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-03-13,Bioblas - ESF,VitaGreen - Campaign 2,VitaGreen - AdGroup 3,VIT-SYN-0007,B0SYNTH0007,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-09-04,Bioblas - ESF,VitaGreen - Campaign 2,VitaGreen - AdGroup 3,VIT-SYN-0007,B0SYNTH0007,702,2,0.0028,0.59,1.18,6.04,0.1954,5.1186,0,0,0.0,0,0,6.04,0
2023-10-02,Bioblas - ESF,VitaGreen - Campaign 2,VitaGreen - AdGroup 3,VIT-SYN-0007,B0SYNTH0007,108,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-05-22,Bioblas - ESF,VitaGreen - Campaign 2,VitaGreen - AdGroup 3,VIT-SYN-0007,B0SYNTH0007,523,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-05-01,Bioblas - ESF,VitaGreen - Campaign 2,VitaGreen - AdGroup 3,VIT-SYN-0007,B0SYNTH0007,371,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-01-23,Orient Therapy - ESF,Halley - Campaign 2,Halley - AdGroup 4,HAL-SYN-0008,B0SYNTH0008,710,1,0.0014,0.44,0.44,1.22,0.3607,2.7727,0,0,0.0,0,0,1.22,0
2023-12-18,Orient Therapy - ESF,Halley - Campaign 2,Halley - AdGroup 4,HAL-SYN-0008,B0SYNTH0008,136,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-06-05,Orient Therapy - ESF,Halley - Campaign 2,Halley - AdGroup 4,HAL-SYN-0008,B0SYNTH0008,877,1,0.0011,1.27,1.27,1.61,0.7888,1.2677,0,0,0.0,0,0,1.61,0
2023-09-04,Orient Therapy - ESF,Halley - Campaign 2,Halley - AdGroup 4,HAL-SYN-0008,B0SYNTH0008,53,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-10-16,Orient Therapy - ESF,Halley - Campaign 2,Halley - AdGroup 4,HAL-SYN-0008,B0SYNTH0008,1177,1,0.0008,1.2,1.2,9.19,0.1306,7.6583,0,0,0.0,0,0,9.19,0
2023-11-06,Orient Therapy - ESF,Halley - Campaign 2,Halley - AdGroup 4,HAL-SYN-0008,B0SYNTH0008,201,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-12-25,Orient Therapy - ESF,Halley - Campaign 2,Halley - AdGroup 4,HAL-SYN-0008,B0SYNTH0008,282,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-02-06,Orient Therapy - ESF,Halley - Campaign 2,Halley - AdGroup 4,HAL-SYN-0008,B0SYNTH0008,106,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-07-24,Jumbo Jumble - ESF,Harveast - Campaign 2,Harveast - AdGroup 5,HAR-SYN-0009,B0SYNTH0009,272,1,0.0037,1.45,1.45,5.19,0.2794,3.5793,0,0,0.0,0,0,5.19,0
2023-01-30,Jumbo Jumble - ESF,Harveast - Campaign 2,Harveast - AdGroup 5,HAR-SYN-0009,B0SYNTH0009,69,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-07-10,Jumbo Jumble - ESF,Harveast - Campaign 2,Harveast - AdGroup 5,HAR-SYN-0009,B0SYNTH0009,264,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-09-18,Jumbo Jumble - ESF,Harveast - Campaign 2,Harveast - AdGroup 5,HAR-SYN-0009,B0SYNTH0009,91,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-05-22,Jumbo Jumble - ESF,Harveast - Campaign 2,Harveast - AdGroup 5,HAR-SYN-0009,B0SYNTH0009,168,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-10-30,Jumbo Jumble - ESF,Harveast - Campaign 2,Harveast - AdGroup 5,HAR-SYN-0009,B0SYNTH0009,585,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-01-02,Jumbo Jumble - ESF,Harveast - Campaign 2,Harveast - AdGroup 5,HAR-SYN-0009,B0SYNTH0009,375,1,0.0027,0.86,0.86,1.67,0.515,1.9419,0,0,0.0,0,0,1.67,0
2023-11-13,Jumbo Jumble - ESF,Harveast - Campaign 2,Harveast - AdGroup 5,HAR-SYN-0009,B0SYNTH0009,588,1,0.0017,1.34,1.34,3.45,0.3884,2.5746,0,0,0.0,0,0,3.45,0
2023-04-24,Halley - ESF,BioBlas - Campaign 3,BioBlas - AdGroup 1,BIO-SYN-0010,B0SYNTH0010,1506,2,0.0013,1.25,2.5,5.43,0.4604,2.172,0,0,0.0,0,0,5.43,0
2023-05-01,Halley - ESF,BioBlas - Campaign 3,BioBlas - AdGroup 1,BIO-SYN-0010,B0SYNTH0010,363,3,0.0083,0.87,2.61,3.93,0.6641,1.5057,0,0,0.0,0,0,3.93,0
2023-07-31,Halley - ESF,BioBlas - Campaign 3,BioBlas - AdGroup 1,BIO-SYN-0010,B0SYNTH0010,105,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-02-20,Halley - ESF,BioBlas - Campaign 3,BioBlas - AdGroup 1,BIO-SYN-0010,B0SYNTH0010,318,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-07-03,Halley - ESF,BioBlas - Campaign 3,BioBlas - AdGroup 1,BIO-SYN-0010,B0SYNTH0010,493,1,0.002,0.61,0.61,4.63,0.1317,7.5902,0,0,0.0,0,0,4.63,0
2023-11-20,Halley - ESF,BioBlas - Campaign 3,BioBlas - AdGroup 1,BIO-SYN-0010,B0SYNTH0010,2364,5,0.0021,0.97,4.87,9.23,0.5276,1.8953,0,0,0.0,0,0,9.23,0
2023-02-06,Halley - ESF,BioBlas - Campaign 3,BioBlas - AdGroup 1,BIO-SYN-0010,B0SYNTH0010,108,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-10-02,Halley - ESF,BioBlas - Campaign 3,BioBlas - AdGroup 1,BIO-SYN-0010,B0SYNTH0010,1462,17,0.0116,0.66,11.15,14.3,0.7797,1.2825,0,0,0.0,0,0,14.3,0
2023-11-20,Harveast - ESF,OrientTherapy - Campaign 3,OrientTherapy - AdGroup 2,ORI-SYN-0011,B0SYNTH0011,131,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-06-12,Harveast - ESF,OrientTherapy - Campaign 3,OrientTherapy - AdGroup 2,ORI-SYN-0011,B0SYNTH0011,628,4,0.0064,1.33,5.34,6.8,0.7853,1.2734,0,0,0.0,0,0,6.8,0
2023-07-17,Harveast - ESF,OrientTherapy - Campaign 3,OrientTherapy - AdGroup 2,ORI-SYN-0011,B0SYNTH0011,792,1,0.0013,1.19,1.19,2.88,0.4132,2.4202,0,0,0.0,0,0,2.88,0
2023-04-24,Harveast - ESF,OrientTherapy - Campaign 3,OrientTherapy - AdGroup 2,ORI-SYN-0011,B0SYNTH0011,171,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-08-21,Harveast - ESF,OrientTherapy - Campaign 3,OrientTherapy - AdGroup 2,ORI-SYN-0011,B0SYNTH0011,306,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-04-17,Harveast - ESF,OrientTherapy - Campaign 3,OrientTherapy - AdGroup 2,ORI-SYN-0011,B0SYNTH0011,677,2,0.003,0.95,1.9,8.03,0.2366,4.2263,0,0,0.0,0,0,8.03,0
2023-05-29,Harveast - ESF,OrientTherapy - Campaign 3,OrientTherapy - AdGroup 2,ORI-SYN-0011,B0SYNTH0011,324,3,0.0093,0.51,1.54,2.33,0.6609,1.513,0,0,0.0,0,0,2.33,0
2023-03-06,Harveast - ESF,OrientTherapy - Campaign 3,OrientTherapy - AdGroup 2,ORI-SYN-0011,B0SYNTH0011,315,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-05-15,Bioblas - ESF,JumboJumble - Campaign 3,JumboJumble - AdGroup 3,JUM-SYN-0012,B0SYNTH0012,499,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-06-26,Bioblas - ESF,JumboJumble - Campaign 3,JumboJumble - AdGroup 3,JUM-SYN-0012,B0SYNTH0012,252,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-02-27,Bioblas - ESF,JumboJumble - Campaign 3,JumboJumble - AdGroup 3,JUM-SYN-0012,B0SYNTH0012,257,1,0.0039,0.73,0.73,1.37,0.5328,1.8767,0,0,0.0,0,0,1.37,0
2023-08-28,Bioblas - ESF,JumboJumble - Campaign 3,JumboJumble - AdGroup 3,JUM-SYN-0012,B0SYNTH0012,86,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-01-23,Bioblas - ESF,JumboJumble - Campaign 3,JumboJumble - AdGroup 3,JUM-SYN-0012,B0SYNTH0012,328,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-05-29,Bioblas - ESF,JumboJumble - Campaign 3,JumboJumble - AdGroup 3,JUM-SYN-0012,B0SYNTH0012,258,1,0.0039,1.29,1.29,2.5,0.516,1.938,0,0,0.0,0,0,2.5,0
2023-11-20,Bioblas - ESF,JumboJumble - Campaign 3,JumboJumble - AdGroup 3,JUM-SYN-0012,B0SYNTH0012,1159,3,0.0026,0.7,2.1,3.3,0.6364,1.5714,0,0,0.0,0,0,3.3,0
2023-11-27,Bioblas - ESF,JumboJumble - Campaign 3,JumboJumble - AdGroup 3,JUM-SYN-0012,B0SYNTH0012,219,1,0.0046,0.89,0.89,1.51,0.5894,1.6966,0,0,0.0,0,0,1.51,0
2023-10-23,Orient Therapy - ESF,NaturPlus - Campaign 3,NaturPlus - AdGroup 4,NAT-SYN-0013,B0SYNTH0013,57,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-09-25,Orient Therapy - ESF,NaturPlus - Campaign 3,NaturPlus - AdGroup 4,NAT-SYN-0013,B0SYNTH0013,188,1,0.0053,0.41,0.41,0.52,0.7885,1.2683,0,0,0.0,0,0,0.52,0
2023-02-13,Orient Therapy - ESF,NaturPlus - Campaign 3,NaturPlus - AdGroup 4,NAT-SYN-0013,B0SYNTH0013,76,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-04-10,Orient Therapy - ESF,NaturPlus - Campaign 3,NaturPlus - AdGroup 4,NAT-SYN-0013,B0SYNTH0013,437,2,0.0046,1.43,2.86,4.95,0.5778,1.7308,0,0,0.0,0,0,4.95,0
2023-12-11,Orient Therapy - ESF,NaturPlus - Campaign 3,NaturPlus - AdGroup 4,NAT-SYN-0013,B0SYNTH0013,126,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-02-06,Orient Therapy - ESF,NaturPlus - Campaign 3,NaturPlus - AdGroup 4,NAT-SYN-0013,B0SYNTH0013,104,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-11-27,Orient Therapy - ESF,NaturPlus - Campaign 3,NaturPlus - AdGroup 4,NAT-SYN-0013,B0SYNTH0013,616,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-07-24,Orient Therapy - ESF,NaturPlus - Campaign 3,NaturPlus - AdGroup 4,NAT-SYN-0013,B0SYNTH0013,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-11-06,Jumbo Jumble - ESF,EcoHome - Campaign 3,EcoHome - AdGroup 5,ECO-SYN-0014,B0SYNTH0014,142,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-02-06,Jumbo Jumble - ESF,EcoHome - Campaign 3,EcoHome - AdGroup 5,ECO-SYN-0014,B0SYNTH0014,229,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-10-30,Jumbo Jumble - ESF,EcoHome - Campaign 3,EcoHome - AdGroup 5,ECO-SYN-0014,B0SYNTH0014,178,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-03-20,Jumbo Jumble - ESF,EcoHome - Campaign 3,EcoHome - AdGroup 5,ECO-SYN-0014,B0SYNTH0014,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-01-02,Jumbo Jumble - ESF,EcoHome - Campaign 3,EcoHome - AdGroup 5,ECO-SYN-0014,B0SYNTH0014,39,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-12-18,Jumbo Jumble - ESF,EcoHome - Campaign 3,EcoHome - AdGroup 5,ECO-SYN-0014,B0SYNTH0014,334,2,0.006,0.36,0.72,2.22,0.3243,3.0833,0,0,0.0,0,0,2.22,0
2023-10-23,Jumbo Jumble - ESF,EcoHome - Campaign 3,EcoHome - AdGroup 5,ECO-SYN-0014,B0SYNTH0014,294,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
