Start Date,End Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,7 Day Total Sales ,Total Advertising Cost of Sales (ACOS) ,Total Return on Advertising Spend (ROAS),7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate,7 Day Advertised SKU Units (#),7 Day Other SKU Units (#),7 Day Advertised SKU Sales ,7 Day Other SKU Sales 
2023-12-18,2023-12-18,Halley - ESF,USD,Halley - Campaign 1,Halley - AdGroup 1,keyword: desk accessories,Exact,desk accessories,959,3,0.0031,1.03,3.1,8.23,0.3767,2.6548,0,0,0.0,0,0,8.23,0
2023-01-30,2023-01-30,Halley - ESF,USD,Halley - Campaign 1,Halley - AdGroup 1,keyword: desk accessories,Exact,desk accessories,166,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-05-15,2023-05-15,Halley - ESF,USD,Halley - Campaign 1,Halley - AdGroup 1,keyword: desk accessories,Exact,desk accessories,48,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-07-03,2023-07-03,Harveast - ESF,USD,Harveast - Campaign 1,Harveast - AdGroup 2,keyword: spa gift set,Exact,spa gift set,43,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-04-24,2023-04-24,Harveast - ESF,USD,Harveast - Campaign 1,Harveast - AdGroup 2,keyword: spa gift set,Broad,spa gift set,407,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-01-09,2023-01-09,Harveast - ESF,USD,Harveast - Campaign 1,Harveast - AdGroup 2,keyword: spa gift set,Exact,spa gift set,120,1,0.0083,0.36,0.36,1.09,0.3303,3.0278,0,0,0.0,0,0,1.09,0
2023-11-20,2023-11-20,Harveast - ESF,USD,Harveast - Campaign 1,Harveast - AdGroup 2,keyword: dried figs snack,Exact,dried figs snack,141,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-07-31,2023-07-31,Harveast - ESF,USD,Harveast - Campaign 1,Harveast - AdGroup 2,keyword: dried figs snack,Exact,dried figs snack,120,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-04-03,2023-04-03,Harveast - ESF,USD,Harveast - Campaign 1,Harveast - AdGroup 2,keyword: dried figs snack,Broad,dried figs snack,272,1,0.0037,1.33,1.33,4.61,0.2885,3.4662,0,0,0.0,0,0,4.61,0
2023-01-02,2023-01-02,Harveast - ESF,USD,Harveast - Campaign 1,Harveast - AdGroup 2,keyword: air freshener home,Broad,air freshener home,51,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-12-04,2023-12-04,Harveast - ESF,USD,Harveast - Campaign 1,Harveast - AdGroup 2,keyword: air freshener home,Broad,air freshener home,44,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-09-11,2023-09-11,Harveast - ESF,USD,Harveast - Campaign 1,Harveast - AdGroup 2,keyword: air freshener home,Exact,air freshener home,403,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-06-05,2023-06-05,Harveast - ESF,USD,Harveast - Campaign 1,Harveast - AdGroup 2,keyword: baby soft towel,Phrase,baby soft towel,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-03-27,2023-03-27,Harveast - ESF,USD,Harveast - Campaign 1,Harveast - AdGroup 2,keyword: baby soft towel,Broad,baby soft towel,135,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-05-08,2023-05-08,Harveast - ESF,USD,Harveast - Campaign 1,Harveast - AdGroup 2,keyword: baby soft towel,Broad,baby soft towel,515,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-01-02,2023-01-02,Harveast - ESF,USD,Harveast - Campaign 1,Harveast - AdGroup 2,keyword: essential oil diffuser,Broad,essential oil diffuser,1291,2,0.0015,0.64,1.27,3.15,0.4032,2.4803,0,0,0.0,0,0,3.15,0
2023-01-16,2023-01-16,Harveast - ESF,USD,Harveast - Campaign 1,Harveast - AdGroup 2,keyword: essential oil diffuser,Broad,essential oil diffuser,460,1,0.0022,0.48,0.48,0.91,0.5275,1.8958,0,0,0.0,0,0,0.91,0
2023-05-15,2023-05-15,Harveast - ESF,USD,Harveast - Campaign 1,Harveast - AdGroup 2,keyword: essential oil diffuser,Broad,essential oil diffuser,279,3,0.0108,0.47,1.41,2.29,0.6157,1.6241,0,0,0.0,0,0,2.29,0
2023-06-26,2023-06-26,Bioblas - ESF,USD,BioBlas - Campaign 1,BioBlas - AdGroup 3,keyword: camping tent 4 person,Phrase,camping tent 4 person,429,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-06-05,2023-06-05,Bioblas - ESF,USD,BioBlas - Campaign 1,BioBlas - AdGroup 3,keyword: camping tent 4 person,Phrase,camping tent 4 person,154,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-08-21,2023-08-21,Bioblas - ESF,USD,BioBlas - Campaign 1,BioBlas - AdGroup 3,keyword: camping tent 4 person,Broad,camping tent 4 person,1237,3,0.0024,1.46,4.37,8.94,0.4888,2.0458,0,0,0.0,0,0,8.94,0
2023-09-11,2023-09-11,Bioblas - ESF,USD,BioBlas - Campaign 1,BioBlas - AdGroup 3,keyword: air purifier hepa,Phrase,air purifier hepa,536,13,0.0243,1.43,18.63,65.89,0.2827,3.5368,1,1,0.0769,1,0,65.89,0
2023-10-02,2023-10-02,Bioblas - ESF,USD,BioBlas - Campaign 1,BioBlas - AdGroup 3,keyword: air purifier hepa,Broad,air purifier hepa,539,4,0.0074,0.53,2.11,3.59,0.5877,1.7014,0,0,0.0,0,0,3.59,0
2023-04-03,2023-04-03,Bioblas - ESF,USD,BioBlas - Campaign 1,BioBlas - AdGroup 3,keyword: air purifier hepa,Exact,air purifier hepa,61,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-09-04,2023-09-04,Bioblas - ESF,USD,BioBlas - Campaign 1,BioBlas - AdGroup 3,keyword: desk accessories,Broad,desk accessories,83,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-06-12,2023-06-12,Bioblas - ESF,USD,BioBlas - Campaign 1,BioBlas - AdGroup 3,keyword: desk accessories,Exact,desk accessories,267,3,0.0112,0.53,1.59,4.13,0.385,2.5975,0,0,0.0,0,0,4.13,0
2023-01-23,2023-01-23,Bioblas - ESF,USD,BioBlas - Campaign 1,BioBlas - AdGroup 3,keyword: desk accessories,Broad,desk accessories,71,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-05-15,2023-05-15,Bioblas - ESF,USD,BioBlas - Campaign 1,BioBlas - AdGroup 3,keyword: spa gift set,Broad,spa gift set,37,1,0.027,0.52,0.52,1.35,0.3852,2.5962,0,0,0.0,0,0,1.35,0
2023-07-24,2023-07-24,Bioblas - ESF,USD,BioBlas - Campaign 1,BioBlas - AdGroup 3,keyword: spa gift set,Phrase,spa gift set,356,3,0.0084,0.66,1.98,3.51,0.5641,1.7727,0,0,0.0,0,0,3.51,0
2023-05-08,2023-05-08,Bioblas - ESF,USD,BioBlas - Campaign 1,BioBlas - AdGroup 3,keyword: spa gift set,Exact,spa gift set,83,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-06-26,2023-06-26,Bioblas - ESF,USD,BioBlas - Campaign 1,BioBlas - AdGroup 3,keyword: natural fruit snack,Exact,natural fruit snack,126,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-12-18,2023-12-18,Bioblas - ESF,USD,BioBlas - Campaign 1,BioBlas - AdGroup 3,keyword: natural fruit snack,Broad,natural fruit snack,21,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-08-28,2023-08-28,Bioblas - ESF,USD,BioBlas - Campaign 1,BioBlas - AdGroup 3,keyword: natural fruit snack,Exact,natural fruit snack,128,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-08-07,2023-08-07,Orient Therapy - ESF,USD,OrientTherapy - Campaign 1,OrientTherapy - AdGroup 4,keyword: premium bath towels,Broad,premium bath towels,136,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-07-17,2023-07-17,Orient Therapy - ESF,USD,OrientTherapy - Campaign 1,OrientTherapy - AdGroup 4,keyword: premium bath towels,Broad,premium bath towels,858,2,0.0023,0.67,1.33,1.93,0.6891,1.4511,0,0,0.0,0,0,1.93,0
2023-05-08,2023-05-08,Orient Therapy - ESF,USD,OrientTherapy - Campaign 1,OrientTherapy - AdGroup 4,keyword: premium bath towels,Broad,premium bath towels,320,2,0.0063,0.94,1.89,2.89,0.654,1.5291,0,0,0.0,0,0,2.89,0
2023-03-13,2023-03-13,Orient Therapy - ESF,USD,OrientTherapy - Campaign 1,OrientTherapy - AdGroup 4,keyword: hiking backpack,Phrase,hiking backpack,72,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-09-04,2023-09-04,Orient Therapy - ESF,USD,OrientTherapy - Campaign 1,OrientTherapy - AdGroup 4,keyword: hiking backpack,Broad,hiking backpack,295,5,0.0169,0.52,2.59,4.14,0.6256,1.5985,0,0,0.0,0,0,4.14,0
2023-10-02,2023-10-02,Orient Therapy - ESF,USD,OrientTherapy - Campaign 1,OrientTherapy - AdGroup 4,keyword: hiking backpack,Broad,hiking backpack,69,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-10-02,2023-10-02,Orient Therapy - ESF,USD,OrientTherapy - Campaign 1,OrientTherapy - AdGroup 4,keyword: infant care kit,Phrase,infant care kit,220,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-12-18,2023-12-18,Orient Therapy - ESF,USD,OrientTherapy - Campaign 1,OrientTherapy - AdGroup 4,keyword: infant care kit,Broad,infant care kit,33,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-04-10,2023-04-10,Orient Therapy - ESF,USD,OrientTherapy - Campaign 1,OrientTherapy - AdGroup 4,keyword: infant care kit,Broad,infant care kit,98,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-04-10,2023-04-10,Orient Therapy - ESF,USD,OrientTherapy - Campaign 1,OrientTherapy - AdGroup 4,keyword: turkish cotton towel,Exact,turkish cotton towel,161,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-03-27,2023-03-27,Orient Therapy - ESF,USD,OrientTherapy - Campaign 1,OrientTherapy - AdGroup 4,keyword: turkish cotton towel,Phrase,turkish cotton towel,175,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-04-24,2023-04-24,Orient Therapy - ESF,USD,OrientTherapy - Campaign 1,OrientTherapy - AdGroup 4,keyword: turkish cotton towel,Broad,turkish cotton towel,142,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-07-17,2023-07-17,Orient Therapy - ESF,USD,OrientTherapy - Campaign 1,OrientTherapy - AdGroup 4,keyword: office desk organizer,Phrase,office desk organizer,1285,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-07-10,2023-07-10,Orient Therapy - ESF,USD,OrientTherapy - Campaign 1,OrientTherapy - AdGroup 4,keyword: office desk organizer,Exact,office desk organizer,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-03-06,2023-03-06,Orient Therapy - ESF,USD,OrientTherapy - Campaign 1,OrientTherapy - AdGroup 4,keyword: office desk organizer,Phrase,office desk organizer,423,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-11-27,2023-11-27,Jumbo Jumble - ESF,USD,JumboJumble - Campaign 1,JumboJumble - AdGroup 5,keyword: air purifier hepa,Broad,air purifier hepa,80,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-09-18,2023-09-18,Jumbo Jumble - ESF,USD,JumboJumble - Campaign 1,JumboJumble - AdGroup 5,keyword: air purifier hepa,Exact,air purifier hepa,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-09-04,2023-09-04,Jumbo Jumble - ESF,USD,JumboJumble - Campaign 1,JumboJumble - AdGroup 5,keyword: air purifier hepa,Broad,air purifier hepa,176,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-02-27,2023-02-27,Jumbo Jumble - ESF,USD,JumboJumble - Campaign 1,JumboJumble - AdGroup 5,keyword: premium bath towels,Exact,premium bath towels,291,2,0.0069,0.85,1.7,2.23,0.7623,1.3118,0,0,0.0,0,0,2.23,0
2023-08-28,2023-08-28,Jumbo Jumble - ESF,USD,JumboJumble - Campaign 1,JumboJumble - AdGroup 5,keyword: premium bath towels,Phrase,premium bath towels,665,4,0.006,1.26,5.03,6.78,0.7419,1.3479,0,0,0.0,0,0,6.78,0
2023-05-08,2023-05-08,Jumbo Jumble - ESF,USD,JumboJumble - Campaign 1,JumboJumble - AdGroup 5,keyword: premium bath towels,Exact,premium bath towels,112,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-12-25,2023-12-25,Jumbo Jumble - ESF,USD,JumboJumble - Campaign 1,JumboJumble - AdGroup 5,keyword: turkish cotton towel,Phrase,turkish cotton towel,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-02-27,2023-02-27,Jumbo Jumble - ESF,USD,JumboJumble - Campaign 1,JumboJumble - AdGroup 5,keyword: turkish cotton towel,Phrase,turkish cotton towel,481,1,0.0021,1.28,1.28,2.11,0.6066,1.6484,0,0,0.0,0,0,2.11,0
2023-05-08,2023-05-08,Jumbo Jumble - ESF,USD,JumboJumble - Campaign 1,JumboJumble - AdGroup 5,keyword: turkish cotton towel,Exact,turkish cotton towel,66,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-12-11,2023-12-11,Jumbo Jumble - ESF,USD,JumboJumble - Campaign 1,JumboJumble - AdGroup 5,keyword: outdoor gear,Phrase,outdoor gear,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-02-13,2023-02-13,Jumbo Jumble - ESF,USD,JumboJumble - Campaign 1,JumboJumble - AdGroup 5,keyword: outdoor gear,Exact,outdoor gear,125,1,0.008,1.29,1.29,3.31,0.3897,2.5659,0,0,0.0,0,0,3.31,0
2023-07-31,2023-07-31,Jumbo Jumble - ESF,USD,JumboJumble - Campaign 1,JumboJumble - AdGroup 5,keyword: outdoor gear,Phrase,outdoor gear,183,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-01-23,2023-01-23,Jumbo Jumble - ESF,USD,JumboJumble - Campaign 1,JumboJumble - AdGroup 5,keyword: air freshener home,Phrase,air freshener home,156,1,0.0064,1.07,1.07,4.13,0.2591,3.8598,0,0,0.0,0,0,4.13,0
2023-06-19,2023-06-19,Jumbo Jumble - ESF,USD,JumboJumble - Campaign 1,JumboJumble - AdGroup 5,keyword: air freshener home,Exact,air freshener home,56,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-06-12,2023-06-12,Jumbo Jumble - ESF,USD,JumboJumble - Campaign 1,JumboJumble - AdGroup 5,keyword: air freshener home,Broad,air freshener home,79,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-12-25,2023-12-25,Halley - ESF,USD,NaturPlus - Campaign 2,NaturPlus - AdGroup 1,keyword: outdoor gear,Exact,outdoor gear,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-09-18,2023-09-18,Halley - ESF,USD,NaturPlus - Campaign 2,NaturPlus - AdGroup 1,keyword: outdoor gear,Exact,outdoor gear,41,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-12-18,2023-12-18,Halley - ESF,USD,NaturPlus - Campaign 2,NaturPlus - AdGroup 1,keyword: outdoor gear,Broad,outdoor gear,69,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-08-07,2023-08-07,Halley - ESF,USD,NaturPlus - Campaign 2,NaturPlus - AdGroup 1,keyword: hiking backpack,Broad,hiking backpack,68,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-04-17,2023-04-17,Halley - ESF,USD,NaturPlus - Campaign 2,NaturPlus - AdGroup 1,keyword: hiking backpack,Broad,hiking backpack,250,2,0.008,1.25,2.51,14.78,0.1698,5.8884,0,0,0.0,0,0,14.78,0
2023-10-09,2023-10-09,Halley - ESF,USD,NaturPlus - Campaign 2,NaturPlus - AdGroup 1,keyword: hiking backpack,Exact,hiking backpack,208,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-01-16,2023-01-16,Halley - ESF,USD,NaturPlus - Campaign 2,NaturPlus - AdGroup 1,keyword: natural fruit snack,Phrase,natural fruit snack,308,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-04-17,2023-04-17,Halley - ESF,USD,NaturPlus - Campaign 2,NaturPlus - AdGroup 1,keyword: natural fruit snack,Broad,natural fruit snack,436,5,0.0115,1.27,6.34,10.23,0.6197,1.6136,0,0,0.0,0,0,10.23,0
2023-11-06,2023-11-06,Halley - ESF,USD,NaturPlus - Campaign 2,NaturPlus - AdGroup 1,keyword: natural fruit snack,Phrase,natural fruit snack,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-05-08,2023-05-08,Halley - ESF,USD,NaturPlus - Campaign 2,NaturPlus - AdGroup 1,keyword: newborn bath set,Phrase,newborn bath set,2667,2,0.0007,1.26,2.52,3.35,0.7522,1.3294,0,0,0.0,0,0,3.35,0
2023-11-06,2023-11-06,Halley - ESF,USD,NaturPlus - Campaign 2,NaturPlus - AdGroup 1,keyword: newborn bath set,Exact,newborn bath set,110,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-01-16,2023-01-16,Halley - ESF,USD,NaturPlus - Campaign 2,NaturPlus - AdGroup 1,keyword: newborn bath set,Exact,newborn bath set,31,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-05-22,2023-05-22,Halley - ESF,USD,NaturPlus - Campaign 2,NaturPlus - AdGroup 1,keyword: premium bath towels,Broad,premium bath towels,52,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-11-27,2023-11-27,Halley - ESF,USD,NaturPlus - Campaign 2,NaturPlus - AdGroup 1,keyword: premium bath towels,Phrase,premium bath towels,101,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-12-04,2023-12-04,Halley - ESF,USD,NaturPlus - Campaign 2,NaturPlus - AdGroup 1,keyword: premium bath towels,Exact,premium bath towels,85,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-03-06,2023-03-06,Harveast - ESF,USD,EcoHome - Campaign 2,EcoHome - AdGroup 2,keyword: spa gift set,Exact,spa gift set,514,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-02-20,2023-02-20,Harveast - ESF,USD,EcoHome - Campaign 2,EcoHome - AdGroup 2,keyword: spa gift set,Exact,spa gift set,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-06-19,2023-06-19,Harveast - ESF,USD,EcoHome - Campaign 2,EcoHome - AdGroup 2,keyword: spa gift set,Broad,spa gift set,95,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-11-27,2023-11-27,Harveast - ESF,USD,EcoHome - Campaign 2,EcoHome - AdGroup 2,keyword: outdoor gear,Phrase,outdoor gear,1504,2,0.0013,0.94,1.89,7.98,0.2368,4.2222,0,0,0.0,0,0,7.98,0
2023-01-02,2023-01-02,Harveast - ESF,USD,EcoHome - Campaign 2,EcoHome - AdGroup 2,keyword: outdoor gear,Broad,outdoor gear,96,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-11-06,2023-11-06,Harveast - ESF,USD,EcoHome - Campaign 2,EcoHome - AdGroup 2,keyword: outdoor gear,Phrase,outdoor gear,62,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-08-14,2023-08-14,Harveast - ESF,USD,EcoHome - Campaign 2,EcoHome - AdGroup 2,keyword: organic hand towel set,Phrase,organic hand towel set,136,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-09-25,2023-09-25,Harveast - ESF,USD,EcoHome - Campaign 2,EcoHome - AdGroup 2,keyword: organic hand towel set,Phrase,organic hand towel set,52,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-09-18,2023-09-18,Harveast - ESF,USD,EcoHome - Campaign 2,EcoHome - AdGroup 2,keyword: organic hand towel set,Exact,organic hand towel set,589,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-10-30,2023-10-30,Harveast - ESF,USD,EcoHome - Campaign 2,EcoHome - AdGroup 2,keyword: vegan snack pack,Broad,vegan snack pack,295,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-06-05,2023-06-05,Harveast - ESF,USD,EcoHome - Campaign 2,EcoHome - AdGroup 2,keyword: vegan snack pack,Phrase,vegan snack pack,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-01-30,2023-01-30,Harveast - ESF,USD,EcoHome - Campaign 2,EcoHome - AdGroup 2,keyword: vegan snack pack,Exact,vegan snack pack,402,2,0.005,1.05,2.1,2.87,0.7317,1.3667,0,0,0.0,0,0,2.87,0
2023-10-23,2023-10-23,Harveast - ESF,USD,EcoHome - Campaign 2,EcoHome - AdGroup 2,keyword: dried figs snack,Broad,dried figs snack,281,3,0.0107,1.44,4.31,8.31,0.5187,1.9281,0,0,0.0,0,0,8.31,0
2023-04-03,2023-04-03,Harveast - ESF,USD,EcoHome - Campaign 2,EcoHome - AdGroup 2,keyword: dried figs snack,Phrase,dried figs snack,1313,10,0.0076,0.62,6.22,14.93,0.4166,2.4003,0,0,0.0,0,0,14.93,0
2023-03-13,2023-03-13,Harveast - ESF,USD,EcoHome - Campaign 2,EcoHome - AdGroup 2,keyword: dried figs snack,Phrase,dried figs snack,195,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-06-26,2023-06-26,Bioblas - ESF,USD,VitaGreen - Campaign 2,VitaGreen - AdGroup 3,keyword: baby soft towel,Broad,baby soft towel,139,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-06-05,2023-06-05,Bioblas - ESF,USD,VitaGreen - Campaign 2,VitaGreen - AdGroup 3,keyword: baby soft towel,Exact,baby soft towel,402,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
2023-08-28,2023-08-28,Bioblas - ESF,USD,VitaGreen - Campaign 2,VitaGreen - AdGroup 3,keyword: baby soft towel,Broad,baby soft towel,831,3,0.0036,1.41,4.24,20.62,0.2056,4.8632,0,0,0.0,0,0,20.62,0
2023-05-22,2023-05-22,Bioblas - ESF,USD,VitaGreen - Campaign 2,VitaGreen - AdGroup 3,keyword: hiking backpack,Phrase,hiking backpack,53,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0
