Parent_ASIN,Child_ASIN,Title,SKU,Sessions_Mobile_App,Sessions_Mobile_APP_B2B,Sessions_Browser,Sessions_Browser_B2B,Sessions_Total,Sessions_Total_B2B,Session_Percentage_Mobile_App,Session_Percentage_Browser,Session_Percentage_Total,Page_Views_Mobile_App,Page_Views_Browser,Page_Views_Total,Page_Views_Mobile_APP_B2B,Page_Views_Browser_B2B,Page_Views_Total_B2B,Page_Views_Percentage_Mobile_App,Page_Views_Percentage_Browser,Page_Views_Percentage_Total,Page_Views_Percentage_Mobile_App_B2B,Page_Views_Percentage_Browser_B2B,Page_Views_Percentage_Total_B2B,Session_Percentage_Mobile_APP_B2B,Session_Percentage_Browser_B2B,Session_Percentage_Total_B2B,Featured_Offer_Buy_Box_Percentage,Featured_Offer_Buy_Box_Percentage_B2B,Units_Ordered,Units_Ordered_B2B,Unit_Session_Percentage,Unit_Session_Percentage_B2B,Ordered_Product_Sales,Ordered_Product_Sales_B2B,Total_Order_Items,Total_Order_Items_B2B,Report_Date
B0SYNTH0000,B0SYNTH0001,Harveast Grocery Product 2 - Premium Quality,HAR-SYN-0001,199,0,404,0,604,0,33.0,67.0,100.0,270,549,820,0,0,0,33.0,67.0,100.0,0,0,0,0,0,0,58.86,0.0,19,0,3.27,0.0,379.81,0.0,19,0,2023-12-11
B0SYNTH0000,B0SYNTH0001,Harveast Grocery Product 2 - Premium Quality,HAR-SYN-0001,57,0,26,0,84,0,68.0,32.0,100.0,80,37,118,0,0,0,68.0,32.0,100.0,0,0,0,0,0,0,50.87,0.0,1,0,1.81,0.0,19.99,0.0,1,0,2023-02-27
B0SYNTH0000,B0SYNTH0001,Harveast Grocery Product 2 - Premium Quality,HAR-SYN-0001,138,0,162,0,301,0,46.0,54.0,100.0,242,284,527,0,0,0,46.0,54.0,100.0,0,0,0,0,0,0,20.02,0.0,2,0,0.93,0.0,39.98,0.0,2,0,2023-10-23
B0SYNTH0000,B0SYNTH0001,Harveast Grocery Product 2 - Premium Quality,HAR-SYN-0001,6,0,3,0,10,0,66.0,34.0,100.0,11,5,17,0,0,0,66.0,34.0,100.0,0,0,0,0,0,0,52.13,0.0,0,0,1.86,0.0,0.0,0.0,0,0,2023-07-31
B0SYNTH0000,B0SYNTH0001,Harveast Grocery Product 2 - Premium Quality,HAR-SYN-0001,354,0,657,0,1012,0,35.0,65.0,100.0,459,852,1312,0,0,0,35.0,65.0,100.0,0,0,0,0,0,0,64.13,0.0,1,0,0.18,0.0,19.99,0.0,1,0,2022-07-04
B0SYNTH0000,B0SYNTH0001,Harveast Grocery Product 2 - Premium Quality,HAR-SYN-0001,894,0,793,0,1688,0,53.0,47.0,100.0,1429,1268,2698,0,0,0,53.0,47.0,100.0,0,0,0,0,0,0,45.95,0.0,14,0,0.84,0.0,279.86,0.0,14,0,2023-04-10
B0SYNTH0000,B0SYNTH0002,BioBlas Beauty Product 3 - Premium Quality,BIO-SYN-0002,6,0,3,0,10,0,69.0,31.0,100.0,10,4,15,0,0,0,69.0,31.0,100.0,0,0,0,0,0,0,36.33,0.0,0,0,8.89,0.0,0.0,0.0,0,0,2023-05-08
B0SYNTH0000,B0SYNTH0002,BioBlas Beauty Product 3 - Premium Quality,BIO-SYN-0002,40,0,36,0,77,0,53.0,47.0,100.0,51,45,97,0,0,0,53.0,47.0,100.0,0,0,0,0,0,0,83.46,0.0,0,0,0.05,0.0,0.0,0.0,0,0,2023-11-13
B0SYNTH0000,B0SYNTH0002,BioBlas Beauty Product 3 - Premium Quality,BIO-SYN-0002,35,0,74,0,110,0,32.0,68.0,100.0,46,98,145,0,0,0,32.0,68.0,100.0,0,0,0,0,0,0,21.66,0.0,3,0,2.94,0.0,119.97,0.0,3,0,2023-07-31
B0SYNTH0000,B0SYNTH0002,BioBlas Beauty Product 3 - Premium Quality,BIO-SYN-0002,2622,0,3620,0,6243,0,42.0,58.0,100.0,4320,5967,10288,0,0,0,42.0,58.0,100.0,0,0,0,0,0,0,77.06,0.0,310,0,4.97,0.0,12396.9,0.0,310,0,2023-02-27
B0SYNTH0000,B0SYNTH0002,BioBlas Beauty Product 3 - Premium Quality,BIO-SYN-0002,936,0,1098,0,2035,0,46.0,54.0,100.0,1332,1563,2896,0,0,0,46.0,54.0,100.0,0,0,0,0,0,0,10.13,0.0,14,0,0.69,0.0,559.86,0.0,14,0,2023-08-14
B0SYNTH0000,B0SYNTH0002,BioBlas Beauty Product 3 - Premium Quality,BIO-SYN-0002,74,0,74,0,148,0,50.0,50.0,100.0,89,89,178,0,0,0,50.0,50.0,100.0,0,0,0,0,0,0,31.69,0.0,3,0,2.67,0.0,119.97,0.0,3,0,2022-11-21
B0SYNTH0000,B0SYNTH0002,BioBlas Beauty Product 3 - Premium Quality,BIO-SYN-0002,29,0,28,0,58,0,51.0,49.0,100.0,39,38,78,0,0,0,51.0,49.0,100.0,0,0,0,0,0,0,31.62,0.0,0,0,0.95,0.0,0.0,0.0,0,0,2023-06-05
B0SYNTH0000,B0SYNTH0002,BioBlas Beauty Product 3 - Premium Quality,BIO-SYN-0002,143,0,138,0,282,0,51.0,49.0,100.0,198,190,389,0,0,0,51.0,49.0,100.0,0,0,0,0,0,0,76.2,0.0,22,0,8.07,0.0,879.78,0.0,22,0,2022-05-30
B0SYNTH0003,B0SYNTH0003,OrientTherapy Sports Product 4 - Premium Quality,ORI-SYN-0003,711,0,740,0,1452,0,49.0,51.0,100.0,944,983,1928,0,0,0,49.0,51.0,100.0,0,0,0,0,0,0,33.26,0.0,16,0,1.12,0.0,559.84,0.0,16,0,2022-08-01
B0SYNTH0003,B0SYNTH0003,OrientTherapy Sports Product 4 - Premium Quality,ORI-SYN-0003,50,0,85,0,136,0,37.0,63.0,100.0,76,131,208,0,0,0,37.0,63.0,100.0,0,0,0,0,0,0,42.78,0.0,1,0,0.98,0.0,34.99,0.0,1,0,2023-01-09
B0SYNTH0003,B0SYNTH0003,OrientTherapy Sports Product 4 - Premium Quality,ORI-SYN-0003,103,0,84,0,188,0,55.0,45.0,100.0,177,144,322,0,0,0,55.0,45.0,100.0,0,0,0,0,0,0,30.41,0.0,4,0,2.53,0.0,139.96,0.0,4,0,2022-11-07
B0SYNTH0003,B0SYNTH0003,OrientTherapy Sports Product 4 - Premium Quality,ORI-SYN-0003,213,0,434,0,648,0,33.0,67.0,100.0,341,694,1036,0,0,0,33.0,67.0,100.0,0,0,0,0,0,0,54.24,0.0,16,0,2.52,0.0,559.84,0.0,16,0,2023-06-05
B0SYNTH0003,B0SYNTH0003,OrientTherapy Sports Product 4 - Premium Quality,ORI-SYN-0003,60,0,33,0,94,0,64.0,36.0,100.0,77,43,121,0,0,0,64.0,36.0,100.0,0,0,0,0,0,0,45.66,0.0,10,0,11.24,0.0,349.9,0.0,10,0,2022-10-10
B0SYNTH0003,B0SYNTH0003,OrientTherapy Sports Product 4 - Premium Quality,ORI-SYN-0003,100,0,66,0,167,0,60.0,40.0,100.0,148,99,248,0,0,0,60.0,40.0,100.0,0,0,0,0,0,0,10.78,0.0,3,0,2.1,0.0,104.97,0.0,3,0,2022-09-19
B0SYNTH0003,B0SYNTH0003,OrientTherapy Sports Product 4 - Premium Quality,ORI-SYN-0003,35,0,15,0,51,0,70.0,30.0,100.0,44,18,63,0,0,0,70.0,30.0,100.0,0,0,0,0,0,0,26.94,0.0,4,0,9.19,0.0,139.96,0.0,4,0,2023-11-13
B0SYNTH0003,B0SYNTH0003,OrientTherapy Sports Product 4 - Premium Quality,ORI-SYN-0003,161,0,274,0,436,0,37.0,63.0,100.0,254,432,687,0,0,0,37.0,63.0,100.0,0,0,0,0,0,0,87.55,0.0,16,0,3.67,0.0,559.84,0.0,16,0,2023-05-29
B0SYNTH0003,B0SYNTH0004,JumboJumble Health Product 5 - Premium Quality,JUM-SYN-0004,348,0,187,0,536,0,65.0,35.0,100.0,581,312,894,0,0,0,65.0,35.0,100.0,0,0,0,0,0,0,66.02,0.0,1,0,0.22,0.0,34.99,0.0,1,0,2023-04-03
B0SYNTH0003,B0SYNTH0004,JumboJumble Health Product 5 - Premium Quality,JUM-SYN-0004,28,0,64,0,93,0,31.0,69.0,100.0,46,102,149,0,0,0,31.0,69.0,100.0,0,0,0,0,0,0,54.07,0.0,0,0,0.21,0.0,0.0,0.0,0,0,2023-10-16
B0SYNTH0003,B0SYNTH0004,JumboJumble Health Product 5 - Premium Quality,JUM-SYN-0004,123,0,61,0,185,0,67.0,33.0,100.0,177,87,265,0,0,0,67.0,33.0,100.0,0,0,0,0,0,0,56.34,0.0,3,0,1.8,0.0,104.97,0.0,3,0,2023-02-20
B0SYNTH0003,B0SYNTH0004,JumboJumble Health Product 5 - Premium Quality,JUM-SYN-0004,5,0,4,0,10,0,54.0,46.0,100.0,9,7,17,0,0,0,54.0,46.0,100.0,0,0,0,0,0,0,75.34,0.0,0,0,1.37,0.0,0.0,0.0,0,0,2022-10-17
B0SYNTH0003,B0SYNTH0004,JumboJumble Health Product 5 - Premium Quality,JUM-SYN-0004,583,0,388,0,972,0,60.0,40.0,100.0,744,496,1240,0,0,0,60.0,40.0,100.0,0,0,0,0,0,0,11.75,0.0,28,0,2.89,0.0,979.72,0.0,28,0,2022-11-21
B0SYNTH0003,B0SYNTH0004,JumboJumble Health Product 5 - Premium Quality,JUM-SYN-0004,118,0,96,0,215,0,55.0,45.0,100.0,197,161,359,0,0,0,55.0,45.0,100.0,0,0,0,0,0,0,57.59,0.0,13,0,6.21,0.0,454.87,0.0,13,0,2022-05-23
B0SYNTH0003,B0SYNTH0004,JumboJumble Health Product 5 - Premium Quality,JUM-SYN-0004,457,0,235,0,693,0,66.0,34.0,100.0,726,373,1100,0,0,0,66.0,34.0,100.0,0,0,0,0,0,0,52.67,0.0,15,0,2.18,0.0,524.85,0.0,15,0,2023-04-24
B0SYNTH0003,B0SYNTH0004,JumboJumble Health Product 5 - Premium Quality,JUM-SYN-0004,152,0,101,0,254,0,60.0,40.0,100.0,196,131,328,0,0,0,60.0,40.0,100.0,0,0,0,0,0,0,65.61,0.0,18,0,7.43,0.0,629.82,0.0,18,0,2022-05-09
B0SYNTH0003,B0SYNTH0005,NaturPlus Clothing Product 6 - Premium Quality,NAT-SYN-0005,2974,0,6039,0,9014,0,33.0,67.0,100.0,3720,7554,11275,0,0,0,33.0,67.0,100.0,0,0,0,0,0,0,79.95,0.0,17,0,0.19,0.0,509.83,0.0,17,0,2023-09-18
B0SYNTH0003,B0SYNTH0005,NaturPlus Clothing Product 6 - Premium Quality,NAT-SYN-0005,369,0,190,0,560,0,66.0,34.0,100.0,475,244,720,0,0,0,66.0,34.0,100.0,0,0,0,0,0,0,51.6,0.0,22,0,4.03,0.0,659.78,0.0,22,0,2023-07-10
B0SYNTH0003,B0SYNTH0005,NaturPlus Clothing Product 6 - Premium Quality,NAT-SYN-0005,164,0,128,0,293,0,56.0,44.0,100.0,232,183,416,0,0,0,56.0,44.0,100.0,0,0,0,0,0,0,57.66,0.0,2,0,0.97,0.0,59.98,0.0,2,0,2022-12-12
B0SYNTH0003,B0SYNTH0005,NaturPlus Clothing Product 6 - Premium Quality,NAT-SYN-0005,674,0,791,0,1466,0,46.0,54.0,100.0,996,1170,2167,0,0,0,46.0,54.0,100.0,0,0,0,0,0,0,21.02,0.0,28,0,1.97,0.0,839.72,0.0,28,0,2023-06-19
B0SYNTH0003,B0SYNTH0005,NaturPlus Clothing Product 6 - Premium Quality,NAT-SYN-0005,16,0,9,0,26,0,62.0,38.0,100.0,27,17,45,0,0,0,62.0,38.0,100.0,0,0,0,0,0,0,86.61,0.0,0,0,2.41,0.0,0.0,0.0,0,0,2022-06-06
B0SYNTH0003,B0SYNTH0005,NaturPlus Clothing Product 6 - Premium Quality,NAT-SYN-0005,95,0,132,0,228,0,42.0,58.0,100.0,145,200,346,0,0,0,42.0,58.0,100.0,0,0,0,0,0,0,31.15,0.0,18,0,7.98,0.0,539.82,0.0,18,0,2023-04-24
B0SYNTH0003,B0SYNTH0005,NaturPlus Clothing Product 6 - Premium Quality,NAT-SYN-0005,72,0,95,0,168,0,43.0,57.0,100.0,99,132,232,0,0,0,43.0,57.0,100.0,0,0,0,0,0,0,46.91,0.0,6,0,3.73,0.0,179.94,0.0,6,0,2022-04-25
B0SYNTH0003,B0SYNTH0005,NaturPlus Clothing Product 6 - Premium Quality,NAT-SYN-0005,15,0,7,0,23,0,68.0,32.0,100.0,23,10,34,0,0,0,68.0,32.0,100.0,0,0,0,0,0,0,19.01,0.0,0,0,3.31,0.0,0.0,0.0,0,0,2023-04-10
B0SYNTH0006,B0SYNTH0006,EcoHome Office Product 7 - Premium Quality,ECO-SYN-0006,4134,0,2643,0,6778,0,61.0,39.0,100.0,5301,3389,8691,0,0,0,61.0,39.0,100.0,0,0,0,0,0,0,53.17,0.0,400,0,5.91,0.0,9996.0,0.0,400,0,2023-03-13
B0SYNTH0006,B0SYNTH0006,EcoHome Office Product 7 - Premium Quality,ECO-SYN-0006,69,0,91,0,161,0,43.0,57.0,100.0,111,147,259,0,0,0,43.0,57.0,100.0,0,0,0,0,0,0,54.28,0.0,6,0,3.95,0.0,149.94,0.0,6,0,2023-12-11
B0SYNTH0006,B0SYNTH0006,EcoHome Office Product 7 - Premium Quality,ECO-SYN-0006,17,0,8,0,26,0,69.0,31.0,100.0,26,12,39,0,0,0,69.0,31.0,100.0,0,0,0,0,0,0,59.21,0.0,1,0,5.43,0.0,24.99,0.0,1,0,2023-09-11
B0SYNTH0006,B0SYNTH0006,EcoHome Office Product 7 - Premium Quality,ECO-SYN-0006,87,0,71,0,159,0,55.0,45.0,100.0,107,88,196,0,0,0,55.0,45.0,100.0,0,0,0,0,0,0,64.93,0.0,4,0,3.13,0.0,99.96,0.0,4,0,2023-08-14
B0SYNTH0006,B0SYNTH0006,EcoHome Office Product 7 - Premium Quality,ECO-SYN-0006,46,0,38,0,85,0,55.0,45.0,100.0,81,67,149,0,0,0,55.0,45.0,100.0,0,0,0,0,0,0,39.31,0.0,0,0,0.11,0.0,0.0,0.0,0,0,2023-12-04
B0SYNTH0006,B0SYNTH0006,EcoHome Office Product 7 - Premium Quality,ECO-SYN-0006,164,0,88,0,253,0,65.0,35.0,100.0,255,137,393,0,0,0,65.0,35.0,100.0,0,0,0,0,0,0,36.72,0.0,3,0,1.47,0.0,74.97,0.0,3,0,2023-09-25
B0SYNTH0006,B0SYNTH0006,EcoHome Office Product 7 - Premium Quality,ECO-SYN-0006,28,0,45,0,74,0,39.0,61.0,100.0,50,78,129,0,0,0,39.0,61.0,100.0,0,0,0,0,0,0,24.19,0.0,0,0,1.01,0.0,0.0,0.0,0,0,2023-09-18
B0SYNTH0006,B0SYNTH0006,EcoHome Office Product 7 - Premium Quality,ECO-SYN-0006,1450,0,1922,0,3373,0,43.0,57.0,100.0,1948,2583,4532,0,0,0,43.0,57.0,100.0,0,0,0,0,0,0,66.31,0.0,20,0,0.6,0.0,499.8,0.0,20,0,2023-11-13
B0SYNTH0006,B0SYNTH0007,VitaGreen Baby Product 8 - Premium Quality,VIT-SYN-0007,72,0,103,0,176,0,41.0,59.0,100.0,104,150,255,0,0,0,41.0,59.0,100.0,0,0,0,0,0,0,69.74,0.0,5,0,3.06,0.0,374.95,0.0,5,0,2022-09-19
B0SYNTH0006,B0SYNTH0007,VitaGreen Baby Product 8 - Premium Quality,VIT-SYN-0007,84,0,66,0,151,0,56.0,44.0,100.0,140,109,250,0,0,0,56.0,44.0,100.0,0,0,0,0,0,0,34.43,0.0,6,0,4.51,0.0,449.94,0.0,6,0,2023-02-06
B0SYNTH0006,B0SYNTH0007,VitaGreen Baby Product 8 - Premium Quality,VIT-SYN-0007,347,0,179,0,527,0,66.0,34.0,100.0,446,229,676,0,0,0,66.0,34.0,100.0,0,0,0,0,0,0,52.79,0.0,3,0,0.71,0.0,224.97,0.0,3,0,2023-01-02
B0SYNTH0006,B0SYNTH0007,VitaGreen Baby Product 8 - Premium Quality,VIT-SYN-0007,78,0,49,0,128,0,61.0,39.0,100.0,107,68,176,0,0,0,61.0,39.0,100.0,0,0,0,0,0,0,56.95,0.0,1,0,1.11,0.0,74.99,0.0,1,0,2023-01-23
B0SYNTH0006,B0SYNTH0007,VitaGreen Baby Product 8 - Premium Quality,VIT-SYN-0007,299,0,225,0,525,0,57.0,43.0,100.0,423,319,743,0,0,0,57.0,43.0,100.0,0,0,0,0,0,0,92.78,0.0,7,0,1.36,0.0,524.93,0.0,7,0,2023-07-10
B0SYNTH0006,B0SYNTH0007,VitaGreen Baby Product 8 - Premium Quality,VIT-SYN-0007,10,0,9,0,20,0,52.0,48.0,100.0,14,12,27,0,0,0,52.0,48.0,100.0,0,0,0,0,0,0,79.55,0.0,0,0,3.29,0.0,0.0,0.0,0,0,2023-11-27
B0SYNTH0006,B0SYNTH0007,VitaGreen Baby Product 8 - Premium Quality,VIT-SYN-0007,399,0,245,0,645,0,62.0,38.0,100.0,619,379,999,0,0,0,62.0,38.0,100.0,0,0,0,0,0,0,46.67,0.0,8,0,1.32,0.0,599.92,0.0,8,0,2023-04-03
B0SYNTH0006,B0SYNTH0007,VitaGreen Baby Product 8 - Premium Quality,VIT-SYN-0007,230,0,391,0,622,0,37.0,63.0,100.0,375,640,1016,0,0,0,37.0,63.0,100.0,0,0,0,0,0,0,76.09,0.0,1,0,0.32,0.0,74.99,0.0,1,0,2022-12-05
B0SYNTH0006,B0SYNTH0008,Halley Home & Kitchen Product 9 - Premium Quality,HAL-SYN-0008,263,0,161,0,425,0,62.0,38.0,100.0,375,229,605,0,0,0,62.0,38.0,100.0,0,0,0,0,0,0,12.65,0.0,14,0,3.43,0.0,349.86,0.0,14,0,2022-12-19
B0SYNTH0006,B0SYNTH0008,Halley Home & Kitchen Product 9 - Premium Quality,HAL-SYN-0008,43,0,50,0,94,0,46.0,54.0,100.0,70,82,153,0,0,0,46.0,54.0,100.0,0,0,0,0,0,0,89.04,0.0,2,0,2.62,0.0,49.98,0.0,2,0,2023-10-23
B0SYNTH0006,B0SYNTH0008,Halley Home & Kitchen Product 9 - Premium Quality,HAL-SYN-0008,227,0,111,0,339,0,67.0,33.0,100.0,335,164,500,0,0,0,67.0,33.0,100.0,0,0,0,0,0,0,60.6,0.0,10,0,3.24,0.0,249.9,0.0,10,0,2022-11-07
B0SYNTH0006,B0SYNTH0008,Halley Home & Kitchen Product 9 - Premium Quality,HAL-SYN-0008,636,0,810,0,1447,0,44.0,56.0,100.0,861,1095,1957,0,0,0,44.0,56.0,100.0,0,0,0,0,0,0,53.53,0.0,5,0,0.36,0.0,124.95,0.0,5,0,2022-10-03
B0SYNTH0006,B0SYNTH0008,Halley Home & Kitchen Product 9 - Premium Quality,HAL-SYN-0008,12,0,25,0,38,0,33.0,67.0,100.0,15,32,48,0,0,0,33.0,67.0,100.0,0,0,0,0,0,0,55.16,0.0,0,0,1.72,0.0,0.0,0.0,0,0,2023-09-18
B0SYNTH0006,B0SYNTH0008,Halley Home & Kitchen Product 9 - Premium Quality,HAL-SYN-0008,4,0,5,0,10,0,45.0,55.0,100.0,6,8,15,0,0,0,45.0,55.0,100.0,0,0,0,0,0,0,57.56,0.0,0,0,4.26,0.0,0.0,0.0,0,0,2023-01-30
B0SYNTH0006,B0SYNTH0008,Halley Home & Kitchen Product 9 - Premium Quality,HAL-SYN-0008,399,0,469,0,869,0,46.0,54.0,100.0,495,581,1077,0,0,0,46.0,54.0,100.0,0,0,0,0,0,0,54.65,0.0,10,0,1.25,0.0,249.9,0.0,10,0,2022-09-12
B0SYNTH0006,B0SYNTH0008,Halley Home & Kitchen Product 9 - Premium Quality,HAL-SYN-0008,307,0,188,0,496,0,62.0,38.0,100.0,416,254,671,0,0,0,62.0,38.0,100.0,0,0,0,0,0,0,44.64,0.0,3,0,0.74,0.0,74.97,0.0,3,0,2023-10-30
B0SYNTH0009,B0SYNTH0009,Harveast Grocery Product 10 - Premium Quality,HAR-SYN-0009,68,0,111,0,180,0,38.0,62.0,100.0,83,137,221,0,0,0,38.0,62.0,100.0,0,0,0,0,0,0,53.22,0.0,0,0,0.42,0.0,0.0,0.0,0,0,2023-06-19
B0SYNTH0009,B0SYNTH0009,Harveast Grocery Product 10 - Premium Quality,HAR-SYN-0009,72,0,81,0,154,0,47.0,53.0,100.0,129,145,275,0,0,0,47.0,53.0,100.0,0,0,0,0,0,0,35.26,0.0,3,0,2.12,0.0,269.97,0.0,3,0,2023-05-15
B0SYNTH0009,B0SYNTH0009,Harveast Grocery Product 10 - Premium Quality,HAR-SYN-0009,264,0,224,0,489,0,54.0,46.0,100.0,392,333,726,0,0,0,54.0,46.0,100.0,0,0,0,0,0,0,29.97,0.0,1,0,0.35,0.0,89.99,0.0,1,0,2023-08-07
B0SYNTH0009,B0SYNTH0009,Harveast Grocery Product 10 - Premium Quality,HAR-SYN-0009,302,0,369,0,672,0,45.0,55.0,100.0,384,469,854,0,0,0,45.0,55.0,100.0,0,0,0,0,0,0,40.31,0.0,51,0,7.69,0.0,4589.49,0.0,51,0,2023-09-04
B0SYNTH0009,B0SYNTH0009,Harveast Grocery Product 10 - Premium Quality,HAR-SYN-0009,1145,0,1950,0,3096,0,37.0,63.0,100.0,1622,2763,4386,0,0,0,37.0,63.0,100.0,0,0,0,0,0,0,34.66,0.0,61,0,1.99,0.0,5489.39,0.0,61,0,2022-12-05
B0SYNTH0009,B0SYNTH0009,Harveast Grocery Product 10 - Premium Quality,HAR-SYN-0009,466,0,285,0,752,0,62.0,38.0,100.0,574,351,926,0,0,0,62.0,38.0,100.0,0,0,0,0,0,0,28.82,0.0,68,0,9.14,0.0,6119.32,0.0,68,0,2023-07-03
B0SYNTH0009,B0SYNTH0009,Harveast Grocery Product 10 - Premium Quality,HAR-SYN-0009,367,0,206,0,574,0,64.0,36.0,100.0,501,282,784,0,0,0,64.0,36.0,100.0,0,0,0,0,0,0,22.16,0.0,2,0,0.46,0.0,179.98,0.0,2,0,2023-08-21
B0SYNTH0009,B0SYNTH0009,Harveast Grocery Product 10 - Premium Quality,HAR-SYN-0009,1826,0,1685,0,3512,0,52.0,48.0,100.0,2485,2294,4780,0,0,0,52.0,48.0,100.0,0,0,0,0,0,0,58.72,0.0,81,0,2.33,0.0,7289.19,0.0,81,0,2023-04-10
B0SYNTH0009,B0SYNTH0010,BioBlas Beauty Product 11 - Premium Quality,BIO-SYN-0010,580,0,1353,0,1934,0,30.0,70.0,100.0,813,1898,2712,0,0,0,30.0,70.0,100.0,0,0,0,0,0,0,56.08,0.0,13,0,0.69,0.0,649.87,0.0,13,0,2022-06-27
B0SYNTH0009,B0SYNTH0010,BioBlas Beauty Product 11 - Premium Quality,BIO-SYN-0010,191,0,157,0,349,0,55.0,45.0,100.0,261,214,476,0,0,0,55.0,45.0,100.0,0,0,0,0,0,0,43.15,0.0,2,0,0.83,0.0,99.98,0.0,2,0,2023-12-04
B0SYNTH0009,B0SYNTH0010,BioBlas Beauty Product 11 - Premium Quality,BIO-SYN-0010,64,0,73,0,138,0,47.0,53.0,100.0,86,97,184,0,0,0,47.0,53.0,100.0,0,0,0,0,0,0,34.98,0.0,4,0,3.43,0.0,199.96,0.0,4,0,2023-04-17
B0SYNTH0009,B0SYNTH0010,BioBlas Beauty Product 11 - Premium Quality,BIO-SYN-0010,5,0,4,0,10,0,55.0,45.0,100.0,8,6,15,0,0,0,55.0,45.0,100.0,0,0,0,0,0,0,77.79,0.0,0,0,7.26,0.0,0.0,0.0,0,0,2022-10-03
